Time,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,Velocity6,Velocity7,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,TorqueSm1,TorqueSm2,TorqueSm3,TorqueSm4,TorqueSm5,TorqueSm6,TorqueSm7,TorqueCur1,TorqueCur2,TorqueCur3,TorqueCur4,TorqueCur5,TorqueCur6,TorqueCur7,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Cur1,Cur2,Cur3,Cur4,Cur5,Cur6,Cur7,PositionCmptd1,PositionCmptd2,PositionCmptd3,PositionCmptd4,PositionCmptd5,PositionCmptd6,PositionCmptd7,VelocityCmptd1,VelocityCmptd2,VelocityCmptd3,VelocityCmptd4,VelocityCmptd5,VelocityCmptd6,VelocityCmptd7,AccCmptd1,AccCmptd2,AccCmptd3,AccCmptd4,AccCmptd5,AccCmptd6,AccCmptd7,TorqueCmptd1,TorqueCmptd2,TorqueCmptd3,TorqueCmptd4,TorqueCmptd5,TorqueCmptd6,TorqueCmptd7
0,-4.26093e-06,5.27086e-06,-1.33154e-05,-2.82287e-05,-1.04719,-6.3914e-06,-1.91742e-05,0,7.91838e-06,0,5.29482e-06,0,0,0,0.00352168,-0.0022905,0.00351722,-0.00313587,0.00351722,-0.00142399,0.000719977,0,0,0,0,0,0,0,0.294229,-0.593037,1.10336,2.79904,1.01477,0.190057,0.707605,32.9778,33.2001,33.2718,34.7365,39.2386,40.2376,38.6714,0.0322266,-0.0649547,0.12085,0.306576,0.173405,0.0324774,0.120917,0,0,0,0,-1.04717,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0,0
1,-4.26093e-06,5.27086e-06,-1.3848e-05,-2.82287e-05,-1.04719,-6.3914e-06,-1.91742e-05,0,7.91242e-06,-5.27495e-06,0,0,0,0,0.00352168,-0.00229052,0.00351722,-0.00313588,0.00351722,-0.00142398,0.000719977,0,0,0,0,0,0,0,0.328957,-0.441343,1.25263,2.72261,0.990377,0.212164,0.636927,32.9778,33.2001,33.2718,34.7365,39.2386,40.2376,38.6714,0.0360304,-0.0483398,0.1372,0.298205,0.169237,0.0362549,0.108839,0,0,0,0,-1.04717,0,0,0,0,0,0,0.00299987,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0,0
2,-4.26093e-06,5.27086e-06,-1.3848e-05,-2.82287e-05,-1.04719,-6.3914e-06,-1.91742e-05,0,7.9125e-06,-5.27489e-06,0,0,0,0,0.00352168,-0.00229055,0.00351722,-0.00313591,0.00351722,-0.00142398,0.000719977,0,0,0,0,0,0,0,0.375069,-0.447431,1.32403,2.72261,1.01477,0.166691,0.731166,32.9778,33.2001,33.2718,34.7365,39.2386,40.2376,38.6714,0.041081,-0.0490066,0.14502,0.298205,0.173405,0.0284845,0.124943,0,0,0,0,-1.04716,0,0,0,0,0,0,0.00599974,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0,0
3,-4.26093e-06,5.27086e-06,-1.33154e-05,-2.82287e-05,-1.04719,-6.3914e-06,-1.91742e-05,0,7.90647e-06,0,0,0,0,0,0.00352168,-0.00229062,0.00351722,-0.00313597,0.00351722,-0.00142398,0.000719977,0,0,0,0,0,0,0,0.375069,-0.535504,1.25263,2.72261,1.01394,0.18859,0.707605,32.9778,33.2001,33.2718,34.7365,39.2386,40.2376,38.6714,0.041081,-0.0586532,0.1372,0.298205,0.173265,0.0322266,0.120917,0,0,0,0,-1.04715,0,0,0,0,0,0,0.00899961,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0,0
4,-4.26093e-06,5.27086e-06,-1.33154e-05,-2.82287e-05,-1.04719,-6.3914e-06,-1.91742e-05,0,7.90647e-06,0,5.28688e-06,0,0,0,0.00352168,-0.0022907,0.00351722,-0.00313606,0.00351722,-0.00142398,0.000719977,0,0,0,0,0,0,0,0.367786,-0.520127,1.17691,2.64806,1.0867,0.18859,0.707212,32.9778,33.2001,33.2718,34.7365,39.2386,40.2376,38.6714,0.0402832,-0.0569691,0.128906,0.290039,0.185696,0.0322266,0.12085,0,0,0,0,-1.04714,0,0,0,0,0,0,0.0119995,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0,0
5,-4.26093e-06,5.27086e-06,-1.33154e-05,-2.82287e-05,-1.04719,-6.3914e-06,-1.91742e-05,0,7.91242e-06,0,5.28683e-06,0,0,0,0.00352168,-0.00229082,0.00351722,-0.00313616,0.00351722,-0.00142398,0.000719977,0,0,0,0,0,0,0,0.367786,-0.465216,1.32403,2.79517,1.13154,0.217339,0.660485,32.9778,33.2001,33.2718,34.7365,39.2386,40.2376,38.6714,0.0402832,-0.0509547,0.14502,0.306152,0.193359,0.0371393,0.112865,0,0,0,0,-1.04713,0,0,0,0,0,0,0.0149994,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0,0
6,-4.26093e-06,5.27086e-06,-1.33154e-05,-2.82287e-05,-1.04719,-6.3914e-06,-1.91742e-05,0,7.91242e-06,5.27495e-06,7.92427e-06,1.05657e-05,0,0,0.00352168,-0.00229096,0.00351722,-0.00313629,0.00351722,-0.00142398,0.000719977,0,0,0,0,0,0,0,0.375069,-0.367786,1.25263,2.64806,1.15511,0.171619,0.683638,32.9778,33.2001,33.2718,34.7365,39.2386,40.2376,38.6714,0.041081,-0.0402832,0.1372,0.290039,0.197388,0.0293266,0.116821,0,0,0,0,-1.04711,0,0,0,0,0,0,0.0179992,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0,0
7,-4.26093e-06,5.27086e-06,-1.33154e-05,-2.82287e-05,-1.04719,-6.3914e-06,-1.91742e-05,0,7.90647e-06,5.27892e-06,7.92427e-06,2.11316e-05,0,0,0.00352168,-0.00229112,0.00351722,-0.00313644,0.00351722,-0.00142398,0.000719977,0,0,0,0,0,0,0,0.303284,-0.465216,1.18607,2.72261,1.2503,0.26038,0.684044,32.9778,33.2001,33.2718,34.7365,39.2386,40.2376,38.6714,0.0332184,-0.0509547,0.129909,0.298205,0.213653,0.0444942,0.116891,0,0,0,0,-1.04709,0,0,0,0,0,0,0.0209991,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0,0
8,-4.26093e-06,5.27086e-06,-1.33154e-05,-2.82287e-05,-1.04719,-6.3914e-06,-1.91742e-05,0,7.90639e-06,5.27887e-06,5.28688e-06,3.16974e-05,0,0,0.00352168,-0.00229131,0.00351722,-0.00313662,0.00351722,-0.00142398,0.000719977,0,0,0,0,0,0,0,0.447431,-0.465216,1.17691,2.79517,1.29656,0.18859,0.683638,32.9778,33.2001,33.2718,34.7365,39.2386,40.2376,38.6714,0.0490066,-0.0509547,0.128906,0.306152,0.221558,0.0322266,0.116821,0,0,0,0,-1.04707,0,0,0,0,0,0,0.023999,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0,0
9,-4.26093e-06,5.27086e-06,-1.3848e-05,-2.82287e-05,-1.04719,-6.3914e-06,-1.91742e-05,0,7.91242e-06,0,0,4.75461e-05,0,0,0.00352168,-0.00229152,0.00351722,-0.00313682,0.00351722,-0.00142398,0.000719977,0,0,0,0,0,0,0,0.375069,-0.520127,1.17921,2.64806,1.36748,0.190057,0.707212,32.9778,33.2001,33.2718,34.7365,39.2386,40.2376,38.6714,0.041081,-0.0569691,0.129158,0.290039,0.233677,0.0324774,0.12085,0,0,0,0,-1.04705,0,0,0,0,0,0,0.0269988,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0,0
10,-4.26093e-06,5.27086e-06,-1.3848e-05,-2.82287e-05,-1.04719,-6.3914e-06,-1.91742e-05,0,7.91242e-06,0,0,7.91838e-05,0,0,0.00352168,-0.00229176,0.00351722,-0.00313704,0.00351722,-0.00142398,0.000719977,0,0,0,0,0,0,0,0.375069,-0.5149,1.25263,2.72261,1.46176,0.213469,0.707605,32.9778,33.2001,33.2718,34.7365,39.2386,40.2376,38.6714,0.041081,-0.0563965,0.1372,0.298205,0.249788,0.036478,0.120917,0,0,0,0,-1.04702,0,0,0,0,0,0,0.0299987,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0,0
11,-4.26093e-06,5.27086e-06,-1.3848e-05,-2.82287e-05,-1.04718,-6.3914e-06,-1.91742e-05,0,7.90647e-06,-5.27892e-06,0,0.000116223,0,0,0.00352168,-0.00229202,0.00351722,-0.00313728,0.00351722,-0.00142398,0.000719977,0,0,0,0,0,0,0,0.375069,-0.520127,1.25263,2.64806,1.55587,0.143393,0.707605,32.9778,33.2001,33.2718,34.7365,39.2386,40.2376,38.6714,0.041081,-0.0569691,0.1372,0.290039,0.265869,0.0245033,0.120917,0,0,0,0,-1.04699,0,0,0,0,0,0,0.0329986,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0,0
12,-4.26093e-06,5.27086e-06,-1.33154e-05,-2.82287e-05,-1.04718,-6.3914e-06,-1.91742e-05,0,7.90647e-06,0,5.28683e-06,0.000153203,0,0,0.00352168,-0.00229231,0.00351722,-0.00313755,0.00351722,-0.00142398,0.000719977,0,0,0,0,0,0,0,0.232608,-0.465216,1.32607,2.72261,1.69796,0.18859,0.684044,32.9778,33.2001,33.2718,34.7365,39.2386,40.2376,38.6714,0.0254773,-0.0509547,0.145243,0.298205,0.290151,0.0322266,0.116891,0,0,0,0,-1.04695,0,0,0,0,0,0,0.0359984,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0,0
13,-4.26093e-06,5.27086e-06,-1.33154e-05,-2.82287e-05,-1.04717,-6.3914e-06,-1.91742e-05,0,7.91242e-06,0,5.28683e-06,0.000211316,0,0,0.00352168,-0.00229263,0.00351722,-0.00313785,0.00351722,-0.00142398,0.000719977,0,0,0,0,0,0,0,0.232608,-0.447431,1.32403,2.72261,1.86292,0.190057,0.684044,32.9778,33.2001,33.2718,34.7365,39.2386,40.2376,38.6714,0.0254773,-0.0490066,0.14502,0.298205,0.318339,0.0324774,0.116891,0,0,0,0,-1.04691,0,0,0,0,0,0,0.0389983,0,0,0,0,0,0,2.99987,0,0,0,0,0,0,0,0,0
