Time,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,Velocity6,Velocity7,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,TorqueSm1,TorqueSm2,TorqueSm3,TorqueSm4,TorqueSm5,TorqueSm6,TorqueSm7,TorqueCur1,TorqueCur2,TorqueCur3,TorqueCur4,TorqueCur5,TorqueCur6,TorqueCur7,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Cur1,Cur2,Cur3,Cur4,Cur5,Cur6,Cur7,PositionCmptd1,PositionCmptd2,PositionCmptd3,PositionCmptd4,PositionCmptd5,PositionCmptd6,PositionCmptd7,VelocityCmptd1,VelocityCmptd2,VelocityCmptd3,VelocityCmptd4,VelocityCmptd5,VelocityCmptd6,VelocityCmptd7,AccCmptd1,AccCmptd2,AccCmptd3,AccCmptd4,AccCmptd5,AccCmptd6,AccCmptd7,TorqueCmptd1,TorqueCmptd2,TorqueCmptd3,TorqueCmptd4,TorqueCmptd5,TorqueCmptd6,TorqueCmptd7
0,-1.5707,9.49633e-06,3.45153e-05,4.59546e-06,-3.1957e-06,1.76259e-05,-6.3914e-05,0,0,0,0,0,0,0,-0.0224814,2.48104,0.0179229,1.03018,0.0110163,0.314652,0.00655303,0,0.0561876,-0.0500556,0.193144,0.308156,0.255941,0.165355,-0.441343,-0.0735571,-0.232608,0.104025,0.0333383,-0.0333383,0.473826,33.8463,33.8745,34.5657,35.9507,40.4124,41.666,39.4424,-0.0483398,-0.00805664,-0.0254773,0.0113938,0.00569691,-0.00569691,0.0809682,-1.57075,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
1,-1.5707,9.49633e-06,3.45153e-05,4.59546e-06,-3.1957e-06,1.76259e-05,-6.3914e-05,0,0,0,0,0,0,0,-0.0224814,2.48093,0.0179229,1.03012,0.0110163,0.314626,0.00655303,0,0.0561876,-0.0500556,0.193144,0.308156,0.255941,0.165355,-0.303284,-0.0735571,-0.220671,-0.147114,0,-0.0333383,0.472064,33.8463,33.8745,34.5657,35.9507,40.4124,41.666,39.4424,-0.0332184,-0.00805664,-0.0241699,-0.0161133,0,-0.00569691,0.080667,-1.57075,2.33995e-06,2.33995e-06,2.33995e-06,4.49981e-06,4.49981e-06,4.49981e-06,0.00467989,0.00467989,0.00467989,0.00467989,0.00899961,0.00899961,0.00899961,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
2,-1.5707,9.49633e-06,3.45153e-05,4.59546e-06,-3.1957e-06,1.76259e-05,-6.3914e-05,0,0,0,0,0,0,0,-0.0224815,2.4806,0.0179229,1.02992,0.0110163,0.314549,0.00655304,0,0.0533895,-0.0493293,0.1814,0.312364,0.262967,0.164739,-0.328957,-0.104025,-0.294229,0.0735571,-0.0527125,-0.0471475,0.424981,33.8463,33.8745,34.5657,35.9507,40.4124,41.666,39.4424,-0.0360304,-0.0113938,-0.0322266,0.00805664,-0.0090076,-0.00805664,0.0726216,-1.57074,9.35978e-06,9.35978e-06,9.35978e-06,1.79992e-05,1.79992e-05,1.79992e-05,0.00935979,0.00935979,0.00935979,0.00935979,0.0179992,0.0179992,0.0179992,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
3,-1.5707,9.49633e-06,3.45153e-05,4.59546e-06,-3.1957e-06,1.76259e-05,-6.3914e-05,0,0,0,0,0,0,0,-0.0224816,2.48004,0.0179229,1.02959,0.0110164,0.314419,0.00655306,0,0.0486418,-0.0509331,0.173211,0.315402,0.267632,0.163746,-0.375069,-0.0735571,-0.328957,-0.104025,0.0235737,-0.0333383,0.424981,33.8463,33.8745,34.5657,35.9507,40.4124,41.666,39.4424,-0.041081,-0.00805664,-0.0360304,-0.0113938,0.00402832,-0.00569691,0.0726216,-1.57073,2.10595e-05,2.10595e-05,2.10595e-05,4.04983e-05,4.04983e-05,4.04983e-05,0.0140397,0.0140397,0.0140397,0.0140397,0.0269988,0.0269988,0.0269988,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
4,-1.5707,9.49633e-06,3.45153e-05,4.59546e-06,-3.1957e-06,1.76259e-05,-6.3914e-05,-5.30283e-06,0,0,0,0,0,0,-0.0224817,2.47926,0.017923,1.02913,0.0110164,0.314239,0.00655309,0,0.0422762,-0.0562888,0.172309,0.314201,0.267627,0.161589,-1.04025,-0.220671,-0.750138,-0.147114,0.0527125,-0.0527125,0.424981,33.8463,33.8745,34.5657,35.9507,40.4124,41.666,39.4424,-0.113938,-0.0241699,-0.0821619,-0.0161133,0.0090076,-0.0090076,0.0726216,-1.57071,3.74391e-05,3.74391e-05,3.74391e-05,7.19969e-05,7.19969e-05,7.19969e-05,0.0187196,0.0187196,0.0187196,0.0187196,0.0359984,0.0359984,0.0359984,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
5,-1.5707,9.03715e-06,3.40561e-05,4.59546e-06,-3.1957e-06,1.76259e-05,-6.3914e-05,-1.58965e-05,-5.29482e-06,-5.29487e-06,0,0,0,0,-0.0224818,2.47825,0.017923,1.02854,0.0110165,0.314006,0.00655312,0,0.0404846,-0.0662171,0.176692,0.308826,0.262067,0.159391,-1.17921,-0.147114,-0.822394,-0.164479,0,-0.0849963,0.614728,33.8463,33.8745,34.5657,35.9507,40.4124,41.666,39.4424,-0.129158,-0.0161133,-0.090076,-0.0180152,0,-0.0145243,0.105046,-1.57069,5.84987e-05,5.84987e-05,5.84987e-05,0.000112495,0.000112495,0.000112495,0.0233995,0.0233995,0.0233995,0.0233995,0.0449981,0.0449981,0.0449981,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
6,-1.5707,9.03715e-06,3.31377e-05,4.59546e-06,-3.1957e-06,1.76259e-05,-6.28487e-05,-2.12113e-05,-5.29487e-06,-1.32372e-05,0,0,0,1.05817e-05,-0.0224819,2.47702,0.0179231,1.02781,0.0110166,0.313722,0.00655316,0,0.0470847,-0.0716406,0.184777,0.301701,0.257698,0.158475,-1.17921,-0.164479,-0.812465,0,-0.0235737,-0.0942949,0.660064,33.8463,33.8745,34.5657,35.9507,40.4124,41.666,39.4424,-0.129158,-0.0180152,-0.0889885,0,-0.00402832,-0.0161133,0.112793,-1.57067,8.42381e-05,8.42381e-05,8.42381e-05,0.000161993,0.000161993,0.000161993,0.0280794,0.0280794,0.0280794,0.0280794,0.0539977,0.0539977,0.0539977,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
7,-1.5707,9.03715e-06,3.26786e-05,4.59546e-06,-3.1957e-06,1.76259e-05,-6.17835e-05,-2.65142e-05,-5.29087e-06,-1.85319e-05,0,0,0,2.11635e-05,-0.0224818,2.47557,0.0179233,1.02696,0.0110167,0.313385,0.00655321,0,0.0565108,-0.0750319,0.190333,0.298677,0.256669,0.1608,-1.11312,-0.0735571,-0.662014,0.0735571,0.0527125,-0.0235737,0.61337,33.8463,33.8745,34.5657,35.9507,40.4124,41.666,39.4424,-0.121919,-0.00805664,-0.0725098,0.00805664,0.0090076,-0.00402832,0.104814,-1.57064,0.000114657,0.000114657,0.000114657,0.00022049,0.00022049,0.00022049,0.0327592,0.0327592,0.0327592,0.0327592,0.0629973,0.0629973,0.0629973,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
8,-1.5707,9.03715e-06,3.26786e-05,4.59546e-06,-3.1957e-06,1.76259e-05,-5.9653e-05,-2.65142e-05,-5.29082e-06,-1.85319e-05,0,0,0,4.23262e-05,-0.0224816,2.47389,0.0179235,1.02597,0.0110169,0.312998,0.00655326,0,0.0618873,-0.0727591,0.192532,0.30195,0.254858,0.166722,-0.882686,0.0735571,-0.535504,0.104025,0.126948,-0.0471475,0.731166,33.8463,33.8745,34.5657,35.9507,40.4124,41.666,39.4424,-0.0966797,0.00805664,-0.0586532,0.0113938,0.0216932,-0.00805664,0.124943,-1.5706,0.000149757,0.000149757,0.000149757,0.000287988,0.000287988,0.000287988,0.0374391,0.0374391,0.0374391,0.0374391,0.0719969,0.0719969,0.0719969,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
9,-1.5707,9.49633e-06,3.31377e-05,5.05463e-06,-3.1957e-06,1.76259e-05,-5.80552e-05,-2.11953e-05,0,-1.3237e-05,5.30283e-06,0,0,5.8199e-05,-0.0224812,2.47199,0.0179239,1.02485,0.0110171,0.312558,0.00655333,0,0.0640883,-0.0661032,0.193063,0.311905,0.253625,0.171353,-0.73924,0.375069,-0.220671,0.367786,0.141442,0.0527125,0.872228,33.8463,33.8745,34.5657,35.9507,40.4124,41.666,39.4424,-0.0809682,0.041081,-0.0241699,0.0402832,0.0241699,0.0090076,0.149048,-1.57056,0.000189536,0.000189536,0.000189536,0.000364484,0.000364484,0.000364484,0.042119,0.042119,0.042119,0.042119,0.0809965,0.0809965,0.0809965,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
