Time,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,Velocity6,Velocity7,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,TorqueSm1,TorqueSm2,TorqueSm3,TorqueSm4,TorqueSm5,TorqueSm6,TorqueSm7,TorqueCur1,TorqueCur2,TorqueCur3,TorqueCur4,TorqueCur5,TorqueCur6,TorqueCur7,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Cur1,Cur2,Cur3,Cur4,Cur5,Cur6,Cur7,PositionCmptd1,PositionCmptd2,PositionCmptd3,PositionCmptd4,PositionCmptd5,PositionCmptd6,PositionCmptd7,VelocityCmptd1,VelocityCmptd2,VelocityCmptd3,VelocityCmptd4,VelocityCmptd5,VelocityCmptd6,VelocityCmptd7,AccCmptd1,AccCmptd2,AccCmptd3,AccCmptd4,AccCmptd5,AccCmptd6,AccCmptd7,TorqueCmptd1,TorqueCmptd2,TorqueCmptd3,TorqueCmptd4,TorqueCmptd5,TorqueCmptd6,TorqueCmptd7
0,-1.57077,7.45663e-06,-2.13047e-05,7.26437e-06,1.56563e-06,-7.98925e-06,-3.24896e-05,0,-5.30283e-06,7.94231e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7669,-0.328957,2.13442,-1.17921,-0.0745467,0.283865,1.22583,35.1547,36.2238,35.6735,38.0099,41.0006,42.5772,40.1006,0.193527,-0.0360304,0.233781,-0.129158,-0.0127387,0.0485074,0.209473,-1.57075,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
1,-1.57077,7.45663e-06,-2.13047e-05,7.26437e-06,1.56563e-06,-7.98925e-06,-3.24896e-05,0,-5.29882e-06,7.94223e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7669,-0.220671,2.13316,-1.10336,-0.0707212,0.26038,1.22583,35.1547,36.2238,35.6735,38.0099,41.0006,42.5772,40.1006,0.193527,-0.0241699,0.233643,-0.12085,-0.012085,0.0444942,0.209473,-1.57075,2.33995e-06,2.33995e-06,2.33995e-06,4.49981e-06,4.49981e-06,4.49981e-06,0.00467989,0.00467989,0.00467989,0.00467989,0.00899961,0.00899961,0.00899961,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
2,-1.57077,7.45663e-06,-2.13047e-05,7.26437e-06,1.56563e-06,-7.98925e-06,-3.24896e-05,0,-5.29882e-06,7.94223e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77149,-0.303284,2.07139,-1.25263,-0.0527125,0.26038,1.15535,35.1547,36.2238,35.6735,38.0099,41.0006,42.5772,40.1006,0.19403,-0.0332184,0.226877,-0.1372,-0.0090076,0.0444942,0.197429,-1.57074,9.35978e-06,9.35978e-06,9.35978e-06,1.79992e-05,1.79992e-05,1.79992e-05,0.00935979,0.00935979,0.00935979,0.00935979,0.0179992,0.0179992,0.0179992,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
3,-1.57077,7.45663e-06,-2.13047e-05,7.26437e-06,1.56563e-06,-7.98925e-06,-3.24896e-05,0,-5.29882e-06,7.94223e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76537,-0.294229,2.06091,-1.10336,-0.0707212,0.283865,1.22674,35.1547,36.2238,35.6735,38.0099,41.0006,42.5772,40.1006,0.193359,-0.0322266,0.22573,-0.12085,-0.012085,0.0485074,0.209628,-1.57073,2.10595e-05,2.10595e-05,2.10595e-05,4.04983e-05,4.04983e-05,4.04983e-05,0.0140397,0.0140397,0.0140397,0.0140397,0.0269988,0.0269988,0.0269988,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
4,-1.57077,7.45663e-06,-2.13047e-05,7.26437e-06,1.56563e-06,-7.98925e-06,-3.24896e-05,0,-5.30289e-06,7.94223e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76537,-0.220671,1.9139,-1.17921,-0.0745467,0.236913,1.17892,35.1547,36.2238,35.6735,38.0099,41.0006,42.5772,40.1006,0.193359,-0.0241699,0.209628,-0.129158,-0.0127387,0.0404841,0.201456,-1.57071,3.74391e-05,3.74391e-05,3.74391e-05,7.19969e-05,7.19969e-05,7.19969e-05,0.0187196,0.0187196,0.0187196,0.0187196,0.0359984,0.0359984,0.0359984,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
5,-1.57077,7.45663e-06,-2.13047e-05,7.26437e-06,1.56563e-06,-7.98925e-06,-3.24896e-05,0,-5.29877e-06,7.94231e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77911,-0.294229,2.06091,-1.17921,-0.0235737,0.283865,1.22606,35.1547,36.2238,35.6735,38.0099,41.0006,42.5772,40.1006,0.194864,-0.0322266,0.22573,-0.129158,-0.00402832,0.0485074,0.209511,-1.57069,5.84987e-05,5.84987e-05,5.84987e-05,0.000112495,0.000112495,0.000112495,0.0233995,0.0233995,0.0233995,0.0233995,0.0449981,0.0449981,0.0449981,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
6,-1.57077,7.45663e-06,-2.13047e-05,7.26437e-06,1.56563e-06,-7.98925e-06,-3.24896e-05,0,-5.29882e-06,7.94231e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7669,-0.220671,2.28027,-1.10581,0.0471475,0.354391,1.24963,35.1547,36.2238,35.6735,38.0099,41.0006,42.5772,40.1006,0.193527,-0.0241699,0.249756,-0.121118,0.00805664,0.0605589,0.213539,-1.57067,8.42381e-05,8.42381e-05,8.42381e-05,0.000161993,0.000161993,0.000161993,0.0280794,0.0280794,0.0280794,0.0280794,0.0539977,0.0539977,0.0539977,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
7,-1.57077,7.45663e-06,-2.13047e-05,7.26437e-06,1.56563e-06,-7.98925e-06,-3.24896e-05,5.29482e-06,-5.29882e-06,1.3237e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06091,0,2.42739,-0.809128,0.0527125,0.400753,1.32013,35.1547,36.2238,35.6735,38.0212,41.0006,42.5772,40.1006,0.22573,0,0.265869,-0.088623,0.0090076,0.0684814,0.225586,-1.57064,0.000114657,0.000114657,0.000114657,0.00022049,0.00022049,0.00022049,0.0327592,0.0327592,0.0327592,0.0327592,0.0629973,0.0629973,0.0629973,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
8,-1.57077,7.98925e-06,-2.02394e-05,8.18272e-06,1.56563e-06,-6.92401e-06,-3.14244e-05,5.29482e-06,0,2.38267e-05,7.94223e-06,0,1.06057e-05,1.05975e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50202,0.232608,2.72261,-0.588457,0.120203,0.447901,1.36728,35.1547,36.2238,35.6735,38.0212,41.0006,42.5772,40.1006,0.274044,0.0254773,0.298205,-0.0644531,0.0205405,0.0765381,0.233643,-1.5706,0.000149757,0.000149757,0.000149757,0.000287988,0.000287988,0.000287988,0.0374391,0.0374391,0.0374391,0.0374391,0.0719969,0.0719969,0.0719969,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
9,-1.57076,8.52186e-06,-1.8109e-05,9.10107e-06,2.51691e-06,-4.79355e-06,-2.87613e-05,2.11793e-05,5.29882e-06,4.23586e-05,1.8574e-05,1.05816e-05,2.91432e-05,3.71198e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72161,0.593037,3.01674,-0.232608,0.26038,0.56626,1.55604,35.1547,36.2238,35.6735,38.0212,41.0006,42.5772,40.1006,0.298096,0.0649547,0.33042,-0.0254773,0.0444942,0.0967636,0.2659,-1.57056,0.000189536,0.000189536,0.000189536,0.000364484,0.000364484,0.000364484,0.042119,0.042119,0.042119,0.042119,0.0809965,0.0809965,0.0809965,4.67989,4.67989,4.67989,4.67989,8.99961,8.99961,8.99961,0,0,0,0,0,0,0
