Time,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,Velocity6,Velocity7,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,TorqueSm1,TorqueSm2,TorqueSm3,TorqueSm4,TorqueSm5,TorqueSm6,TorqueSm7,TorqueCur1,TorqueCur2,TorqueCur3,TorqueCur4,TorqueCur5,TorqueCur6,TorqueCur7,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Cur1,Cur2,Cur3,Cur4,Cur5,Cur6,Cur7,PositionCmptd1,PositionCmptd2,PositionCmptd3,PositionCmptd4,PositionCmptd5,PositionCmptd6,PositionCmptd7,VelocityCmptd1,VelocityCmptd2,VelocityCmptd3,VelocityCmptd4,VelocityCmptd5,VelocityCmptd6,VelocityCmptd7,AccCmptd1,AccCmptd2,AccCmptd3,AccCmptd4,AccCmptd5,AccCmptd6,AccCmptd7,TorqueCmptd1,TorqueCmptd2,TorqueCmptd3,TorqueCmptd4,TorqueCmptd5,TorqueCmptd6,TorqueCmptd7
0,-3.72832e-06,1.03218e-05,-1.30874,-1.06523e-05,2.97146e-08,-5.32617e-07,-1.91742e-05,0,1.32071e-05,0.0221473,-7.92427e-06,0,0,0,0.00463191,-0.00534105,0.00462788,-0.00306359,0.00182899,-0.000584281,0.000374396,0,0,0,0,0,0,0,0.303284,-0.956243,3.01674,0.894861,0.0471475,0.0235737,0.707212,33.0293,33.7633,32.9528,34.1347,38.988,39.8541,38.3709,0.0332184,-0.104736,0.33042,0.0980133,0.00805664,0.00402832,0.12085,0,0,-1.30896,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0
1,-3.72832e-06,1.03218e-05,-1.30871,-1.06523e-05,2.97146e-08,-5.32617e-07,-1.91742e-05,0,1.32072e-05,0.0253627,-7.92435e-06,0,0,0,0.00463191,-0.00534106,0.00462788,-0.00306359,0.00182899,-0.000584281,0.000374396,0,0,0,0,0,0,0,0.303284,-0.959068,3.23651,0.812465,-0.0745467,0.0235737,0.660485,33.0293,33.7633,32.9528,34.1347,38.988,39.8541,38.3709,0.0332184,-0.105046,0.354492,0.0889885,-0.0127387,0.00402832,0.112865,0,0,-1.30896,0,0,0,0,0,0,0.00155996,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0
2,-3.72832e-06,1.03218e-05,-1.30869,-1.06523e-05,2.97146e-08,-5.32617e-07,-1.91742e-05,0,1.32072e-05,0.0270364,-7.93033e-06,0,0,0,0.00463191,-0.0053411,0.00462788,-0.00306359,0.00182899,-0.000584281,0.000374396,0,0,0,0,0,0,0,0.220671,-1.03242,2.94596,0.882686,0,-0.0333383,0.707605,33.0293,33.7633,32.9528,34.1347,38.988,39.8541,38.3709,0.0241699,-0.11308,0.322668,0.0966797,0,-0.00569691,0.120917,0,0,-1.30896,0,0,0,0,0,0,0.00311993,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0
3,-3.72832e-06,1.03218e-05,-1.30866,-1.06523e-05,2.97146e-08,-5.32617e-07,-1.91742e-05,0,1.31973e-05,0.0285599,-7.92435e-06,0,0,0,0.00463191,-0.00534116,0.00462788,-0.00306359,0.00182899,-0.000584281,0.000374396,0,0,0,0,0,0,0,0.232608,-0.885745,3.01674,0.885745,0.0471475,0.0235737,0.684044,33.0293,33.7633,32.9528,34.1347,38.988,39.8541,38.3709,0.0254773,-0.0970148,0.33042,0.0970148,0.00805664,0.00402832,0.116891,0,0,-1.30895,0,0,0,0,0,0,0.00467989,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0
4,-3.72832e-06,1.03218e-05,-1.30863,-1.01197e-05,2.97146e-08,-5.32617e-07,-1.91742e-05,0,1.32071e-05,0.0307902,-5.28285e-06,0,0,0,0.00463191,-0.00534124,0.00462788,-0.00306359,0.00182899,-0.000584281,0.000374396,0,0,0,0,0,0,0,0.164479,-0.959068,2.94229,0.956243,0.0745467,0.0707212,0.707212,33.0293,33.7633,32.9528,34.1347,38.988,39.8541,38.3709,0.0180152,-0.105046,0.322266,0.104736,0.0127387,0.012085,0.12085,0,0,-1.30895,0,0,0,0,0,0,0.00623986,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0
5,-3.72832e-06,1.03218e-05,-1.30859,-1.01197e-05,2.97146e-08,-5.32617e-07,-1.91742e-05,0,1.32071e-05,0.0324107,-5.28285e-06,0,0,0,0.00463191,-0.00534134,0.00462788,-0.00306359,0.00182899,-0.00058428,0.000374396,0,0,0,0,0,0,0,0.232608,-0.967493,2.79614,0.83868,0.0471475,-0.0471475,0.685262,33.0293,33.7633,32.9528,34.1347,38.988,39.8541,38.3709,0.0254773,-0.105969,0.306258,0.0918598,0.00805664,-0.00805664,0.117099,0,0,-1.30894,0,0,0,0,0,0,0.00779982,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0
6,-3.72832e-06,1.03218e-05,-1.30856,-1.01197e-05,2.97146e-08,-5.32617e-07,-1.91742e-05,0,1.32071e-05,0.0318706,-5.29482e-06,0,0,0,0.00463191,-0.00534147,0.00462788,-0.00306359,0.00182899,-0.00058428,0.000374396,0,0,0,0,0,0,0,0.220671,-0.959068,2.86873,0.959068,-0.0527125,0,0.707212,33.0293,33.7633,32.9528,34.1347,38.988,39.8541,38.3709,0.0241699,-0.105046,0.314209,0.105046,-0.0090076,0,0.12085,0,0,-1.30893,0,0,0,0,0,0,0.00935979,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0
7,-3.72832e-06,1.03218e-05,-1.30853,-1.01197e-05,2.97146e-08,-5.32617e-07,-1.91742e-05,0,1.31973e-05,0.0331005,-5.29082e-06,0,0,0,0.00463191,-0.00534162,0.00462788,-0.00306359,0.00182899,-0.00058428,0.000374396,0,0,0,0,0,0,0,0.294229,-1.04025,3.38363,0.959068,-0.0527125,-0.0333383,0.731166,33.0293,33.7633,32.9528,34.1347,38.988,39.8541,38.3709,0.0322266,-0.113938,0.370605,0.105046,-0.0090076,-0.00569691,0.124943,0,0,-1.30892,0,0,0,0,0,0,0.0109197,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0
8,-3.72832e-06,1.03218e-05,-1.30849,-1.01197e-05,2.97146e-08,-5.32617e-07,-1.91742e-05,0,1.32072e-05,0.0339968,-5.28285e-06,0,0,0,0.00463191,-0.0053418,0.00462788,-0.00306359,0.00182899,-0.00058428,0.000374396,0,0,0,0,0,0,0,0.232608,-0.967493,3.38363,0.885745,-0.0527125,-0.0333383,0.732305,33.0237,33.7633,32.9528,34.1347,38.988,39.8541,38.3709,0.0254773,-0.105969,0.370605,0.0970148,-0.0090076,-0.00569691,0.125138,0,0,-1.30891,0,0,0,0,0,0,0.0124797,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0
9,-3.72832e-06,1.03218e-05,-1.30846,-1.01197e-05,2.97146e-08,-5.32617e-07,-1.91742e-05,0,1.32071e-05,0.0345715,-5.2829e-06,0,0,0,0.00463191,-0.00534199,0.00462788,-0.00306359,0.00182899,-0.00058428,0.000374396,0,0,0,0,0,0,0,0.294229,-0.967493,3.6043,1.03242,0,0.0471475,0.684044,33.0237,33.7633,32.9528,34.1347,38.988,39.8541,38.3709,0.0322266,-0.105969,0.394775,0.11308,0,0.00805664,0.116891,0,0,-1.3089,0,0,0,0,0,0,0.0140397,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0,0
