Time,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,Velocity6,Velocity7,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,TorqueSm1,TorqueSm2,TorqueSm3,TorqueSm4,TorqueSm5,TorqueSm6,TorqueSm7,TorqueCur1,TorqueCur2,TorqueCur3,TorqueCur4,TorqueCur5,TorqueCur6,TorqueCur7,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Cur1,Cur2,Cur3,Cur4,Cur5,Cur6,Cur7,PositionCmptd1,PositionCmptd2,PositionCmptd3,PositionCmptd4,PositionCmptd5,PositionCmptd6,PositionCmptd7,VelocityCmptd1,VelocityCmptd2,VelocityCmptd3,VelocityCmptd4,VelocityCmptd5,VelocityCmptd6,VelocityCmptd7,AccCmptd1,AccCmptd2,AccCmptd3,AccCmptd4,AccCmptd5,AccCmptd6,AccCmptd7,TorqueCmptd1,TorqueCmptd2,TorqueCmptd3,TorqueCmptd4,TorqueCmptd5,TorqueCmptd6,TorqueCmptd7
0,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.75639e-05,-2.98265e-05,-7.50989e-05,1.06057e-05,1.58846e-05,-1.85319e-05,-5.29087e-06,-1.05896e-05,0,5.55956e-05,0,0.00148752,0,0.000483005,0,0.000325437,0,0,0,0,0,0,0,0,0.588457,0.735571,-1.25047,-0.662014,-0.826427,0.377916,1.41521,25.0581,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0644531,0.0805664,-0.136963,-0.0725098,-0.141221,0.0645789,0.241833,-1.57075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1.57077,-1.86416e-05,3.21569e-05,1.75454e-05,4.75639e-05,-2.98265e-05,-7.50989e-05,5.30283e-06,1.05816e-05,-1.85179e-05,-5.29087e-06,-1.05896e-05,0,5.55956e-05,-3.97835e-06,0.00175441,4.67315e-08,0.000606297,5.09014e-08,0.000360682,6.45799e-08,0,0,0,0,0,0,0,0.593037,0.588457,-1.39759,-0.73924,-0.77829,0.354391,1.43819,25.0581,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0649547,0.0644531,-0.153076,-0.0809682,-0.132996,0.0605589,0.245761,-1.57075,1.29728e-11,1.29728e-11,1.29728e-11,1.13878e-11,1.13878e-11,1.13878e-11,3.89183e-08,3.89183e-08,3.89183e-08,3.89183e-08,3.41635e-08,3.41635e-08,3.41635e-08,7.78366e-05,7.78366e-05,7.78366e-05,7.78366e-05,6.83269e-05,6.83269e-05,6.83269e-05,0,0,0,0,0,0,0
2,-1.57077,-1.86416e-05,3.21569e-05,1.75454e-05,4.75639e-05,-2.98265e-05,-7.50989e-05,5.30283e-06,1.05896e-05,-1.85321e-05,-5.29082e-06,-1.05816e-05,0,5.55536e-05,-7.9567e-06,0.00202129,9.34633e-08,0.000729588,1.01803e-07,0.000395926,1.2916e-07,0,0,0,0,0,0,0,0.588457,0.735571,-1.39952,-0.809128,-0.77829,0.403517,1.43877,25.0581,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0644531,0.0805664,-0.153288,-0.088623,-0.132996,0.0689537,0.24586,-1.57075,1.03782e-10,1.03782e-10,1.03782e-10,9.11026e-11,9.11026e-11,9.11026e-11,1.55673e-07,1.55673e-07,1.55673e-07,1.55673e-07,1.36654e-07,1.36654e-07,1.36654e-07,0.000155673,0.000155673,0.000155673,0.000155673,0.000136654,0.000136654,0.000136654,0,0,0,0,0,0,0
3,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.75639e-05,-2.98265e-05,-7.50989e-05,5.30283e-06,1.58846e-05,-1.85179e-05,-5.29082e-06,-1.05816e-05,0,5.56797e-05,-1.1935e-05,0.00228817,1.40196e-07,0.000852874,1.52705e-07,0.00043117,1.9374e-07,0,0,0,0,0,0,0,0.593037,0.73924,-1.25263,-0.750138,-0.754728,0.400753,1.438,25.0581,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0649547,0.0809682,-0.1372,-0.0821619,-0.128969,0.0684814,0.245728,-1.57075,3.50265e-10,3.50265e-10,3.50265e-10,3.07471e-10,3.07471e-10,3.07471e-10,3.50265e-07,3.50265e-07,3.50265e-07,3.50265e-07,3.07471e-07,3.07471e-07,3.07471e-07,0.00023351,0.00023351,0.00023351,0.00023351,0.000204981,0.000204981,0.000204981,0,0,0,0,0,0,0
4,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.66126e-05,-2.98265e-05,-7.40337e-05,1.06057e-05,1.58725e-05,-1.85179e-05,-5.29082e-06,-1.85321e-05,0,6.62847e-05,-1.59134e-05,0.00255504,1.8693e-07,0.000976155,2.03608e-07,0.000466411,2.58321e-07,0,0,0,0,0,0,0,0.520127,0.73924,-1.2591,-0.662014,-0.754728,0.424981,1.43819,25.0581,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0569691,0.0809682,-0.137907,-0.0725098,-0.128969,0.0726216,0.245761,-1.57075,8.30257e-10,8.30257e-10,8.30257e-10,7.28821e-10,7.28821e-10,7.28821e-10,6.22693e-07,6.22693e-07,6.22693e-07,6.22693e-07,5.46615e-07,5.46615e-07,5.46615e-07,0.000311346,0.000311346,0.000311346,0.000311346,0.000273308,0.000273308,0.000273308,0,0,0,0,0,0,0
5,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.66126e-05,-2.98265e-05,-7.40337e-05,1.06057e-05,1.58845e-05,-1.85319e-05,-5.28683e-06,-1.85179e-05,0,6.62847e-05,-1.98917e-05,0.0028219,2.33665e-07,0.00109943,2.54513e-07,0.00050165,3.22902e-07,0,0,0,0,0,0,0,0.750138,0.73924,-1.39952,-0.812465,-0.801507,0.401446,1.41442,25.0581,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0821619,0.0809682,-0.153288,-0.0889885,-0.136963,0.0685998,0.241699,-1.57075,1.6216e-09,1.6216e-09,1.6216e-09,1.42348e-09,1.42348e-09,1.42348e-09,9.72957e-07,9.72957e-07,9.72957e-07,9.72957e-07,8.54087e-07,8.54087e-07,8.54087e-07,0.000389183,0.000389183,0.000389183,0.000389183,0.000341635,0.000341635,0.000341635,0,0,0,0,0,0,0
6,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.66126e-05,-2.98265e-05,-7.40337e-05,1.05976e-05,1.58845e-05,-1.85319e-05,-5.29087e-06,-1.85179e-05,0,6.61852e-05,-2.38701e-05,0.00308873,2.80402e-07,0.00122269,3.05419e-07,0.000536885,3.87483e-07,0,0,0,0,0,0,0,0.678163,0.809128,-1.32403,-0.73924,-0.801507,0.400753,1.48589,25.0581,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0742786,0.088623,-0.14502,-0.0809682,-0.136963,0.0684814,0.253912,-1.57075,2.80212e-09,2.80212e-09,2.80212e-09,2.45977e-09,2.45977e-09,2.45977e-09,1.40106e-06,1.40106e-06,1.40106e-06,1.40106e-06,1.22988e-06,1.22988e-06,1.22988e-06,0.00046702,0.00046702,0.00046702,0.00046702,0.000409962,0.000409962,0.000409962,0,0,0,0,0,0,0
7,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.66126e-05,-2.98265e-05,-7.40337e-05,5.30283e-06,1.58845e-05,-1.85321e-05,-5.29087e-06,-1.85179e-05,0,6.62854e-05,-2.78484e-05,0.00335555,3.27141e-07,0.00134594,3.56326e-07,0.000572117,4.52065e-07,0,0,0,0,0,0,0,0.666088,0.812465,-1.25263,-0.73924,-0.77829,0.448521,1.43877,25.0581,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.072956,0.0889885,-0.1372,-0.0809682,-0.132996,0.076644,0.24586,-1.57075,4.44966e-09,4.44966e-09,4.44966e-09,3.90602e-09,3.90602e-09,3.90602e-09,1.907e-06,1.907e-06,1.907e-06,1.907e-06,1.67401e-06,1.67401e-06,1.67401e-06,0.000544856,0.000544856,0.000544856,0.000544856,0.000478288,0.000478288,0.000478288,0,0,0,0,0,0,0
8,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.66126e-05,-2.98265e-05,-7.35011e-05,5.30283e-06,1.58846e-05,-1.85179e-05,-5.29087e-06,-1.85321e-05,0,7.68911e-05,-3.18268e-05,0.00362234,3.73882e-07,0.00146918,4.07236e-07,0.000607344,5.16648e-07,0,0,0,0,0,0,0,0.593037,0.666088,-1.32403,-0.812465,-0.779361,0.400753,1.43819,25.0581,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0649547,0.072956,-0.14502,-0.0889885,-0.133178,0.0684814,0.245761,-1.57075,6.64206e-09,6.64206e-09,6.64206e-09,5.83056e-09,5.83056e-09,5.83056e-09,2.49077e-06,2.49077e-06,2.49077e-06,2.49077e-06,2.18646e-06,2.18646e-06,2.18646e-06,0.000622693,0.000622693,0.000622693,0.000622693,0.000546615,0.000546615,0.000546615,0,0,0,0,0,0,0
9,-1.57077,-1.8109e-05,3.21569e-05,1.75454e-05,4.66126e-05,-2.98265e-05,-7.35011e-05,5.30283e-06,1.58845e-05,-1.85319e-05,-5.29082e-06,-1.85321e-05,0,7.68911e-05,-3.58051e-05,0.00388911,4.20627e-07,0.0015924,4.58148e-07,0.000642567,5.81232e-07,0,0,0,0,0,0,0,0.447431,0.678163,-1.32403,-0.735571,-0.801853,0.401446,1.43819,25.0581,24.9912,24.2331,24.7745,28.8544,28.6948,27.4138,0.0490066,0.0742786,-0.14502,-0.0805664,-0.137022,0.0685998,0.245761,-1.57075,9.45715e-09,9.45715e-09,9.45715e-09,8.30172e-09,8.30172e-09,8.30172e-09,3.15238e-06,3.15238e-06,3.15238e-06,3.15238e-06,2.76724e-06,2.76724e-06,2.76724e-06,0.000700529,0.000700529,0.000700529,0.000700529,0.000614942,0.000614942,0.000614942,0,0,0,0,0,0,0
