Time,Position1,Position2,Position3,Position4,Position5,Position6,Position7,Velocity1,Velocity2,Velocity3,Velocity4,Velocity5,Velocity6,Velocity7,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,TorqueSm1,TorqueSm2,TorqueSm3,TorqueSm4,TorqueSm5,TorqueSm6,TorqueSm7,TorqueCur1,TorqueCur2,TorqueCur3,TorqueCur4,TorqueCur5,TorqueCur6,TorqueCur7,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Cur1,Cur2,Cur3,Cur4,Cur5,Cur6,Cur7,PositionCmptd1,PositionCmptd2,PositionCmptd3,PositionCmptd4,PositionCmptd5,PositionCmptd6,PositionCmptd7,VelocityCmptd1,VelocityCmptd2,VelocityCmptd3,VelocityCmptd4,VelocityCmptd5,VelocityCmptd6,VelocityCmptd7,AccCmptd1,AccCmptd2,AccCmptd3,AccCmptd4,AccCmptd5,AccCmptd6,AccCmptd7,TorqueCmptd1,TorqueCmptd2,TorqueCmptd3,TorqueCmptd4,TorqueCmptd5,TorqueCmptd6,TorqueCmptd7
0,-3.72832e-06,-8.78817e-05,-1.3848e-05,-1.22181,-1.06523e-06,-6.33814e-05,-1.91742e-05,0,5.29082e-06,5.29082e-06,1.58845e-05,0,0,0,-0.00850914,11.7158,-0.00121291,11.4546,-0.00362966,2.87286,-0.000478308,0,0,0,0,0,0,0,0.232608,8.31196,1.25263,11.6223,0.0235737,2.33392,0.684044,32.9681,32.8223,33.2509,34.3401,39.2507,40.1989,38.6085,0.0254773,0.9104,0.1372,1.27297,0.00402832,0.398824,0.116891,0,0,0,-1.22169,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0
1,-3.72832e-06,-8.78817e-05,-1.3848e-05,-1.22181,-1.06523e-06,-6.33814e-05,-1.91742e-05,0,5.29082e-06,5.28683e-06,2.11953e-05,0,0,0,-0.0085092,11.7158,-0.00121292,11.4546,-0.00362966,2.87285,-0.000478308,0,0,0,0,0,0,0,0.294229,8.45939,1.25047,11.9898,-0.0471475,2.31023,0.684044,32.9681,32.8223,33.2509,34.3401,39.2507,40.1989,38.6085,0.0322266,0.926549,0.136963,1.31323,-0.00805664,0.394775,0.116891,0,0,0,-1.22169,0,0,0,0,0,0,0.00155996,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0
2,-3.72832e-06,-8.78817e-05,-1.3848e-05,-1.22181,-1.06523e-06,-6.33814e-05,-1.91742e-05,0,5.29082e-06,5.29482e-06,3.17692e-05,0,0,0,-0.00850936,11.7158,-0.00121295,11.4546,-0.00362966,2.87285,-0.000478308,0,0,0,0,0,0,0,0.232608,8.31196,1.32403,12.0634,0.0235737,2.33392,0.707212,32.9681,32.8223,33.2509,34.3401,39.2507,40.1989,38.6085,0.0254773,0.9104,0.14502,1.32129,0.00402832,0.398824,0.12085,0,0,0,-1.22169,0,0,0,0,0,0,0.00311993,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0
3,-3.72832e-06,-8.78817e-05,-1.3848e-05,-1.22181,-1.06523e-06,-6.33814e-05,-1.91742e-05,0,0,5.28688e-06,6.35378e-05,0,0,0,-0.00850963,11.7158,-0.00121298,11.4546,-0.00362966,2.87285,-0.000478307,0,0,0,0,0,0,0,0.303284,8.38551,1.33218,12.5785,0.0235737,2.3338,0.754728,32.9681,32.8223,33.2509,34.3401,39.2507,40.1989,38.6085,0.0332184,0.918457,0.145912,1.37771,0.00402832,0.398804,0.128969,0,0,0,-1.22169,0,0,0,0,0,0,0.00467989,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0
4,-3.72832e-06,-8.78817e-05,-1.3848e-05,-1.2218,-1.06523e-06,-6.33814e-05,-1.91742e-05,0,0,5.29482e-06,0.00013237,0,0,0,-0.00851002,11.7158,-0.00121304,11.4545,-0.00362966,2.87284,-0.000478306,0,0,0,0,0,0,0,0.328957,8.23873,1.33218,13.0196,0.0707212,2.3338,0.684044,32.9681,32.8223,33.2509,34.3401,39.2507,40.1989,38.6085,0.0360304,0.90238,0.145912,1.42603,0.012085,0.398804,0.116891,0,0,0,-1.22168,0,0,0,0,0,0,0.00623986,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0
5,-3.72832e-06,-8.78817e-05,-1.3848e-05,-1.22179,-1.06523e-06,-6.33814e-05,-1.91742e-05,0,0,5.29482e-06,0.000190614,0,0,0,-0.00851051,11.7158,-0.00121311,11.4545,-0.00362965,2.87284,-0.000478305,0,0,0,0,0,0,0,0.220671,8.31196,1.25047,13.1667,0.0666766,2.31035,0.707212,32.9681,32.8223,33.2509,34.3401,39.2507,40.1989,38.6085,0.0241699,0.9104,0.136963,1.44214,0.0113938,0.394796,0.12085,0,0,0,-1.22168,0,0,0,0,0,0,0.00779982,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0
6,-3.72832e-06,-8.84143e-05,-1.3848e-05,-1.22177,-1.06523e-06,-6.33814e-05,-1.91742e-05,0,0,5.2829e-06,0.000608594,0,0,0,-0.00851111,11.7157,-0.0012132,11.4545,-0.00362965,2.87283,-0.000478303,0,0,0,0,0,0,0,0.294229,8.2384,1.32403,13.7554,0.0235737,2.31035,0.707605,32.9681,32.8223,33.2509,34.3401,39.2507,40.1989,38.6085,0.0322266,0.902344,0.14502,1.50661,0.00402832,0.394796,0.120917,0,0,0,-1.22167,0,0,0,0,0,0,0.00935979,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0
7,-3.72832e-06,-8.84143e-05,-1.3848e-05,-1.22177,-1.06523e-06,-6.33814e-05,-1.91742e-05,0,0,5.2829e-06,0.000608594,0,0,0,-0.00851182,11.7157,-0.0012133,11.4544,-0.00362964,2.87282,-0.000478302,0,0,0,0,0,0,0,0.294229,8.2384,1.32403,13.7554,0.0235737,2.31035,0.707605,32.9681,32.8223,33.2509,34.3401,39.2507,40.1989,38.6085,0.0322266,0.902344,0.14502,1.50661,0.00402832,0.394796,0.120917,0,0,0,-1.22166,0,0,0,0,0,0,0.0109197,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0
8,-3.72832e-06,-8.84143e-05,-1.3848e-05,-1.22176,-1.06523e-06,-6.33814e-05,-1.91742e-05,0,0,5.29482e-06,0.00177886,0,0,0,-0.00851264,11.7157,-0.00121341,11.4544,-0.00362963,2.87281,-0.0004783,0,0,0,0,0,0,0,0.220671,8.31196,1.32403,13.8289,0,2.31035,0.707605,32.9681,32.8223,33.2509,34.3401,39.2507,40.1989,38.6085,0.0241699,0.9104,0.14502,1.51467,0,0.394796,0.120917,0,0,0,-1.22164,0,0,0,0,0,0,0.0124797,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0
9,-3.72832e-06,-8.78817e-05,-1.3848e-05,-1.22174,-1.06523e-06,-6.33814e-05,-1.91742e-05,0,0,5.29482e-06,0.00707953,0,0,0,-0.00851357,11.7157,-0.00121355,11.4543,-0.00362962,2.87279,-0.000478298,0,0,0,0,0,0,0,0.303284,8.38584,1.39759,13.9025,0.0527125,2.33392,0.661746,32.9681,32.8223,33.2509,34.3401,39.2507,40.1989,38.6085,0.0332184,0.918492,0.153076,1.52273,0.0090076,0.398824,0.11308,0,0,0,-1.22163,0,0,0,0,0,0,0.0140397,0,0,0,0,0,0,1.55996,0,0,0,0,0,0,0,0,0,0
